Company_Name,Overall_Rating,Work_Life_Balance,Mentorship_Rating,Learning_Experience,Total_Reviews
A G Technologies Pvt Ltd,3.8,5,3.9,3.6,12105
A P Technosis Ltd,3.2,3.1,4.3,4.4,12656
Aalayance Ecom Services Pvt Ltd,3.2,3.4,3.4,2.6,3276
Aarav AI Innovations,3.5,3.4,4,3.3,2289
Aarav AI Technologies,3.4,3.5,3.9,3.8,2295
Aarav Cloud Solutions,4.3,3.3,4.4,4.7,4212
Aarav Data Solutions,4.1,4.4,4.4,4.6,2112
Aarav Hub Group,4.5,5,5,4.1,2468
Aarav Info Enterprises,3.9,3.9,4.2,4.7,2122
Aarav Info Ventures,3.6,4.3,4.2,3.8,54564
Aarav Net Limited,4.5,4.5,4.1,5,455
Aarav Services Ventures,3.7,4.8,4.2,3,445
Aarav Soft Group,3.1,3,3.2,3.1,545
Aarav Soft Systems,2.9,2.8,3.7,3.1,5454
Aarav Works Networks,3,3.2,3,3,184
ABO Software Private Limited,3.6,4.2,5,3.7,7815
Accel Software Solutions Limited,3,2.5,2.5,3.1,325
Accenture,4.5,4.6,4.8,4.8,14
Accenture Services Pvt. Ltd.,3.7,3.2,4.8,3.5,2461
Access Networks India Pvt Ltd,4.1,3.5,4.8,4.5,4424
Ace Software Exports Ltd,3.4,4.4,5,3.6,24451
Aces Global Systems Pvt. Ltd,3.5,5,3.9,4.2,658
ACES Infotech Pvt Limited,4.7,5,4.4,2.3,2521
Acsys Software (India) Pvt Ltd,4,3.4,4.8,4.6,372
Acumen Software Technologies Ltnd,2.9,4.7,4.9,4.5,649
Adam Comsof Ltd,3.6,3.8,4.2,3.5,468
ADCC Research & Computing Centre Ltd,4.4,3.9,4.4,5,323
Adhyayan App Enterprises,3.5,3.4,3,3.5,439
Adhyayan Cloud Solutions,4.1,3.8,4.2,4.4,231
Adhyayan Consulting Solutions,3.1,4.2,2.7,3.6,367
Adhyayan Consulting Ventures,4.9,5,5,4.5,367
Adhyayan Cyber Pvt Ltd,4.2,4.8,4.2,4.5,228
Adhyayan Info Systems,3.1,2.7,2.9,3.6,389
Adhyayan Net Networks,3.4,2.5,4,3.9,305
Adhyayan Sec Networks,5,4.7,5,5,151
Adhyayan Solutions Group,3.3,3.7,3.2,3.6,49
Adhyayan Sys Labs,4.5,4.4,4.3,4.8,484
Adhyayan Works Pvt Ltd,3.8,3.5,4.8,3.5,68
Aditi Technologies Pvt Ltd,3.6,4.6,4.3,3.7,470
Adobe,4.7,4.4,4.9,5,920
Adobe Systems India Pvt Ltd,3.6,5,3.1,3.1,323
Adroit Computer Technique Pvt Ltd,4,4.9,4.8,5,809
Advanced Micronic Devices,3.5,4.2,3.5,3.7,42727
Advent Software Limited,2.7,5,4.5,5,220
AdventNet Development,4.7,3.6,3.6,3.8,484
Affinity Software,4.3,3.5,3.8,3.3,370
Aftek Infosys Ltd,3.8,4.1,4.3,4.5,460
Agarwal Management Consultants Pvt. Ltd.,3.3,4.1,4.3,5,937
Agere Systems India Pvt Ltd,3.7,4.3,4.7,5,867
Agni AI Limited,3.5,2.5,3,3.3,72
Agni AI Networks,3.2,2.9,2.9,3,17
Agni Info Labs,3.8,3.4,4.2,4.2,216
Agni Labs Solutions,4.5,4,4.2,4.3,393
Agni Services Technologies,3.4,3.2,3.1,3.4,348
Agni Soft Labs,3.2,3.1,3.1,3.1,500
Agni Solutions Group,3.1,2.9,3.5,2.5,202
AI Analytics,4.1,4,3.8,4,93
AI App Analytics,3.1,4.6,1.9,3.3,391
AI Consulting,4.2,4.5,4.9,4.2,949
AI Corp,4.1,4.5,4.9,4.6,109
AI Data,3.7,4.4,3.8,3.5,575
AI Dynamics,3.5,3.6,4.6,3.8,269
AI Hub Ventures,4.2,3.2,3.5,4.5,145
AI Inc,3.8,4,3.8,3.9,599
AI Info Technologies,4.4,5,3.6,4.6,415
AI Labs,5,4.8,5,5,679
AI Labs Group,4.7,5,4.9,5,370
AI Networks,4.7,3.8,4.5,4.9,992
AI Software,3.5,4.1,3.6,3.5,404
AI Solutions,3.8,3.8,4,4.5,5
AI Works Limited,3.4,3.8,3.1,3.2,160
Aithent Technologies Pvt Ltd.,3.7,3.8,4,5,231
Ajuba Solutions (India) Pvt. Ltd.,4,3.8,4.2,4.2,425
Akash App Limited,4.1,3.1,4,4,385
Akash Cloud Solutions,3.7,3.8,3.5,4,104
Akash Hub Networks,4,3.9,4.4,3.6,447
Akash Solutions Enterprises,4.1,4.7,4.2,4.1,383
Akash Space Analytics,4.4,4.6,3.8,4.5,132
Akash Sys Systems,4.1,3.8,3.9,4.3,142
Akash Web Labs,3.4,2.5,3.7,3.9,211
Akshay Software Technologies Ltd.,3.6,3.2,1.8,3.7,499
Alcatel India Limited.,3.4,4,4.3,4.5,500
Algorithms Software Pvt. Ltd.,3.6,3.1,4,4.7,160
All e Technologies,3.8,3.7,4.4,3.8,320
Allsoft Technologies Ltd,4.9,3.7,3.1,2.8,500
Alpha Analytics,4.4,3.7,4.7,4.8,198
Alpha Consulting,3.7,3.3,3.6,3.8,888
Alpha Corp,4.3,3.6,3.1,4.3,829
Alpha Dynamics,2.9,3.4,3.1,3.1,279
Alpha Innovations,2.6,2.4,4,2.7,552
Alpha Labs,3,1.3,2.9,3.2,619
Alpha Networks,3.8,4.7,4,3.8,993
Alpha Security,3.8,3.8,3.7,4.5,276
Alpha Software,4,3.8,4,4.6,347
Alpha Solutions,3.2,2.9,3.5,3.1,708
Alpha Systems,4.7,5,5,4,124
Alpha Tech,4.2,3.2,4.3,4.3,315
Alpha Technologies,3.7,3.8,3.3,4.5,187
ALSTOM Systems Limited,3.5,4.5,3.8,3.9,687
Amazon,3.2,2.3,3.6,2.8,821
Amazon Development Centre India,2.8,3.3,4.7,3.7,79
AMD,2.1,1.9,2.3,2,900
American Express (India) Pvt. Ltd.,3.9,2.2,4.3,5,297
American Megatrends (India) Pvt. Ltd,2.9,4.9,2.9,3.9,297
AmitySoft Technologies Pvt Ltd,3.4,2.3,4.4,2.7,165
Amoeba Telecom Ltd,4.2,3,4.3,3.2,73
Ampersand Software Applications Ltd.,5,2.5,4.6,4.2,31
Amsoft Information Services (I) Pvt. Ltd.,4.6,3.9,4.9,5,318
Amsoft Systems Pvt Ltd,2.4,3.9,4.1,3.7,104
AMSYS Infotech Pvt Ltd,2.6,1.9,2.3,2.6,661
Anjaleem Enterprises Pvt.,3.5,2.3,3.5,5,151
Annet Communications Pvt Ltd,3.1,2.8,4,4.5,132
An-Net Infotech Limited,4.7,5,3,3.1,297
Annik Systems Pvt Ltd,3.6,4.2,4.7,4.3,181
Ansal Housing & Construction Ltd,3.5,3.8,4.8,3.9,114
Antares Systems Pvt Ltd,3.4,3.4,4.7,5,47
ANZ Information Technology Pvt. Ltd.,3,3.8,3.9,3.7,278
Apar Technologies Ltd,3.4,5,2.9,2.6,469
Apex Analytics,2.4,2.2,2.3,3.3,545
Apex Computer & Engineering Services,3.8,5,2.6,4.2,465
Apex Consulting,4.2,4.1,3.7,4.9,745
Apex Defense,3.8,3.7,4.2,4,360
Apex Group,4.3,4.3,4.1,4.6,446
Apex Inc,4.8,5,4.6,5,992
Apex Innovations,3.3,2.6,2.9,4.2,668
Apex Labs,3.3,3,2.9,3.4,543
Apex Networks,3.4,3.4,4.9,3.7,805
Apex Security,3.9,3.3,4.3,4.2,547
Apex Software,4.2,4,4.5,4.8,728
Apex Tech,3.1,2.6,3.6,3.9,1775
Apex Technologies Pvt. Ltd.,2.9,5,4.4,3.4,992
Apple,3.5,4.2,4.8,3.4,947
Applied Software Pvt. Ltd.,3.3,5,2.6,4.1,447
Apt Software Avenues Pvt. Ltd.,4.3,3.6,3.2,3.5,425
Aptech Limited.,4.1,3.4,3.5,3.7,33
Aravali App Ventures,3.6,4.5,3.9,3.5,374
Aravali Cloud Labs,4.1,3,4.4,4.4,194
Aravali Com Pvt Ltd,5,5,5,5,425
Aravali Labs Technologies,4.2,5,4.4,4,273
Aravali Link Group,4.1,4.4,4.3,4.5,17
Aravali Link Labs,4.8,4.5,5,4.8,256
Aravali Sys Limited,4,4.2,3.9,4.5,163
Aravali Tech Ventures,3.3,3.9,3.7,3.9,481
Aravali Web Networks,5,4.9,5,4.5,456
ARB Software India (P) Ltd.,2.8,3.2,4.5,3.5,57
Aress Software & Education Technologies (P) Ltd.,3,2.8,3.4,4.8,222
Arthur Andersen India Private Limited,3.7,5,4,3,597
Arthur D. Little India Consultancy,3.6,3.7,4.5,3.6,297
Arya Communications & Electronics Services Ltd.,3,5,3.8,3.6,368
Aryabhatta Solutions Ltd.,3.5,4.4,2.8,4.4,99
Ashtech Infotech Pvt. Ltd.,4.4,3.4,2.9,4.5,306
ASL Technologies Ltd.,3.8,5,5,3.9,37
ASM Technologies Limited,2.4,4.5,4.2,4.2,214
Astral Tele*Foundation Pvt. Ltd.,4.7,1.7,4.5,4.3,829
Atari Informatics Ltd.,4.3,2.2,3.3,4.4,908
Atika Computer Education Services,3.6,3,4.5,4.8,470
Atos Origin India Private Limited,2.5,1.9,2.9,4.4,28
Autodesk India Pvt. Ltd.,4.6,4.1,4.7,3.3,470
Avantel Softech Ltd.,4.1,4,5,4.6,370
Aver Software Technologies Ltd.,4.6,3.4,4.3,3.9,58
Aviation Software Development Consultancy India Ltd.,3.2,2.9,3.4,3.6,61
AVL India Software Pvt Ltd,4.3,3.3,5,3.6,370
AXA Business Services Pvt Ltd,3.9,2.6,4.6,5,290
Axes Technologies (I) Pvt Ltd,3.3,4.2,5,4.9,821
Axiom Solutions Pvt Ltd,4.1,3.5,5,2.6,135
AXS Online (P) Ltd,4.8,3.9,2.9,4.3,992
Aztec Software & Technologies(P) Ltd.,3.4,3.2,5,4.7,257
Aztek Systems Pvt Ltd,3.5,3.4,4,5,315
BAeHAL Software Limited,4,1.4,3,3.8,668
Bamboo Software Solutions Pvt. Ltd,3.9,3.6,3.8,3.2,469
Bangalore Softsell Ltd,3.8,4.3,4.7,3.7,69
Bangalore Software Services Ltd,4.5,4.8,3.4,3.7,565
Barry-Wehmiller International Resources Pvt Ltd,4.9,3.2,4.5,3.4,446
Bells Softech Limited,3.4,4.7,2.4,3.5,244
Beni Softwares Pvt Ltd,4.1,4.7,4.6,4,655
Bentley Systems India Pvt Ltd,3.1,4.5,3.7,2.8,39
