Company_Name,Skill_1,Skill_2,Skill_3,Domain,Location,Minimum_CGPA,Duration,Recommended_Degree
A G Technologies Pvt Ltd,"Network Security, NLP","Network Security, PyTorch","Scikit-learn, TensorFlow",DevOps,Mumbai,6.8,2 Months,Mechanical Engineering
A P Technosis Ltd,"Scikit-learn, NoSQL","Incident Response, Linux","Scikit-learn, Mobile Forensics",DevOps,Noida,8.3,3 Months,B.E. Cloud Computing
Aalayance Ecom Services Pvt Ltd,"Scikit-learn, Computer Vision","Network Security, Linux",Pandas,Database Administration,Bangalore,6.1,12 Months,Mechanical Engineering
Aarav AI Innovations,"Scikit-learn, AWS","Python, Java","Cybersecurity, Deep Learning",Software Engineering,Remote,7.4,3 Months,B.Tech Computer Science
Aarav AI Technologies,"Machine Learning, Python","Network Security, Pandas","GCP, PowerBI",DevOps,Remote,6.2,9 Months,Mechanical Engineering
Aarav Cloud Solutions,"JavaScript, Digital Forensics","Linux, Librosa","Data Analysis, Deep Learning",Cloud Computing,Remote,9.3,2 Months,B.E. Cloud Computing
Aarav Data Solutions,"PyTorch, Ethical Hacking","NoSQL, C++","Librosa, Computer Vision",Software Engineering,Kolkata,9.1,4 Months,B.Tech Computer Science
Aarav Hub Group,"Docker, C++","Kubernetes, PyTorch","Mobile Forensics, TensorFlow",Database Administration,Remote,7.1,12 Months,B.Tech CS / IT
Aarav Info Enterprises,"Librosa, Java","NoSQL, OpenCV","Machine Learning, Cybersecurity",Mobile App Development,Coimbatore,8,3 Months,BCA / MCA
Aarav Info Ventures,"PowerBI, Node.js","Java, Python","Node.js, Java",Cloud Computing,Jaipur,8.1,3 Months,B.Tech CS / IT
Aarav Net Limited,"JavaScript, DevOps","Deep Learning, Machine Learning","Pandas, C++",DevOps,Remote,8.2,2 Months,B.E. Cloud Computing
Aarav Services Ventures,"Ethical Hacking, Digital Forensics","TensorFlow, Computer Vision","NoSQL, PowerBI",Web Development,Gurgaon,8.2,3 Months,BCA / MCA
Aarav Soft Group,"NoSQL, JavaScript","Docker, Linux","Incident Response, JavaScript",DevOps,Kolkata,6,2 Months,B.Tech CS / IT
Aarav Soft Systems,"Pandas, AWS","Java, Node.js","Docker, Librosa",Data Science & AI,Coimbatore,6,2 Months,B.Sc / M.Sc Data Science
Aarav Works Networks,"DevOps, Docker","GCP, SQL","Kubernetes, Scikit-learn",Web Development,Remote,7.7,9 Months,BCA / MCA
ABO Software Private Limited,"Scikit-learn, Cybersecurity","Java, React","Docker, Ethical Hacking",Software Engineering,New Delhi,6,3 Months,M.Sc Cyber Forensics
Accel Software Solutions Limited,"SQL, JavaScript","Pandas, AWS","PowerBI, Incident Response",Cybersecurity & Forensics,Chennai,8.9,3 Months,B.E. Cloud Computing
Accenture,"Azure, JavaScript","NoSQL, Linux",Ethical Hacking,Cloud Computing,San Francisco,6.8,2 Months,B.E. Cloud Computing
Accenture Services Pvt. Ltd.,"AWS, React","PowerBI, TensorFlow","GCP, OpenCV",Database Administration,Mumbai,6.5,2 Months,Mechanical Engineering
Access Networks India Pvt Ltd,"Docker, NoSQL","Node.js, React","Bash, Cybersecurity",Database Administration,Trichy,7,6 Months,Mechanical Engineering
Ace Software Exports Ltd,"SQL, Pandas","Incident Response, JavaScript","React, C++",Data Science & AI,Rajkot,6.4,3 Months,B.E. Information Technology
Aces Global Systems Pvt. Ltd,Web Development,"NLP, Node.js","Linux, Azure",Cybersecurity & Forensics,Mumbai,7.7,6 Months,B.E. Cloud Computing
ACES Infotech Pvt Limited,Web Development,"Docker, Kubernetes","Python, Incident Response",Data Science & AI,Kolkata,8.2,12 Months,B.E. Cloud Computing
Acsys Software (India) Pvt Ltd,"Scikit-learn, Cybersecurity","DevOps, Azure","Kubernetes, Ethical Hacking",DevOps,Chennai,7.4,4 Months,BCA / MCA
Acumen Software Technologies Ltnd,"Java, Librosa","PowerBI, OpenCV","PyTorch, Azure",Software Engineering,Hyderabad,8.9,4 Months,M.Sc Cyber Forensics
Adam Comsof Ltd,"SQL, Incident Response","Scikit-learn, AWS","TensorFlow, Pandas",Software Engineering,Mumbai,7.1,3 Months,B.E. Information Technology
ADCC Research & Computing Centre Ltd,"Docker, Ethical Hacking","AWS, Ethical Hacking","Bash, Computer Vision",Software Engineering,Nagpur,7.6,4 Months,B.E. Cloud Computing
Adhyayan App Enterprises,"GCP, JavaScript","Incident Response, Pandas","Machine Learning, Data Analysis",Web Development,Remote,8.2,2 Months,BCA / MCA
Adhyayan Cloud Solutions,"GCP, Python","Linux, Ethical Hacking","PyTorch, SQL",Cloud Computing,Bhubaneswar,7.7,6 Months,Mechanical Engineering
Adhyayan Consulting Solutions,"Data Analysis, Mobile Forensics","Kubernetes, Bash","OpenCV, Scikit-learn",Mobile App Development,Remote,7.6,6 Months,B.Tech Computer Science
Adhyayan Consulting Ventures,"Machine Learning, Computer Vision","OpenCV, Computer Vision","PyTorch, NLP",Cybersecurity & Forensics,Pune,6.7,3 Months,B.Tech Cybersecurity
Adhyayan Cyber Pvt Ltd,"OpenCV, Pandas","Computer Vision, AWS","NLP, Kubernetes",Database Administration,Remote,9.3,2 Months,Mechanical Engineering
Adhyayan Info Systems,"Machine Learning, Ethical Hacking","GCP, Node.js","Deep Learning, Librosa",Cybersecurity & Forensics,Coimbatore,7.6,3 Months,M.Sc Cyber Forensics
Adhyayan Net Networks,"Azure, Mobile Forensics","Python, Data Analysis","PowerBI, Cybersecurity",Cloud Computing,Chandigarh,6,6 Months,Mechanical Engineering
Adhyayan Sec Networks,"Scikit-learn, Pandas","Deep Learning, GCP","C++, React",Cybersecurity & Forensics,Ahmedabad,8.8,3 Months,M.Sc Cyber Forensics
Adhyayan Solutions Group,"Data Analysis, Deep Learning","Cybersecurity, Data Analysis","OpenCV, Node.js",Mobile App Development,Remote,7.2,12 Months,BCA / MCA
Adhyayan Sys Labs,"Ethical Hacking, Mobile Forensics","Java, Python","Azure, NoSQL",Cybersecurity & Forensics,Gurgaon,7.9,2 Months,B.Sc Information Security
Adhyayan Works Pvt Ltd,"Kubernetes, C++","Linux, JavaScript","AWS, OpenCV",Software Engineering,Indore,7.8,9 Months,B.E. Information Technology
Aditi Technologies Pvt Ltd,"Java, Digital Forensics","Machine Learning, Java","C++, SQL",Data Science & AI,Bangalore,7,6 Months,Mechanical Engineering
Adobe,"AWS, JavaScript","DevOps, Kubernetes",TensorFlow,Cloud Computing,Noida,6.2,4 Months,B.Tech CS / IT
Adobe Systems India Pvt Ltd,"Scikit-learn, Cybersecurity","Deep Learning, NLP","Linux, Machine Learning",Software Engineering,Noida,6.9,6 Months,B.E. Information Technology
Adroit Computer Technique Pvt Ltd,"React, SQL","Azure, Network Security","Docker, GCP",Cybersecurity & Forensics,New Delhi,8.8,3 Months,B.Tech CS / IT
Advanced Micronic Devices,"SQL, Python","Data Analysis, Node.js","SQL, Ethical Hacking",Database Administration,India,8.6,6 Months,BCA / MCA
Advent Software Limited,"SQL, Mobile Forensics","SQL, Docker",OpenCV,Web Development,Pune,7.6,12 Months,B.Tech Computer Science
AdventNet Development,"PyTorch, TensorFlow","Java, Librosa","Pandas, AWS",Software Engineering,Pune,6.4,12 Months,B.Tech Computer Science
Affinity Software,"Machine Learning, Network Security","AWS, PyTorch","AWS, Scikit-learn",Data Science & AI,Bangalore,7.2,6 Months,B.Tech Computer Science
Aftek Infosys Ltd,"Data Analysis, TensorFlow","Scikit-learn, Java",GCP,Data Science & AI,Mumbai,9.1,6 Months,B.Sc Information Security
Agarwal Management Consultants Pvt. Ltd.,"DevOps, Data Analysis","Machine Learning, NLP","DevOps, Ethical Hacking",Cloud Computing,Ahmedabad,6.9,6 Months,B.Tech Cybersecurity
Agere Systems India Pvt Ltd,"JavaScript, Docker","Ethical Hacking, TensorFlow","Docker, GCP",Software Engineering,Bangalore,6.6,9 Months,B.Tech CS / IT
Agni AI Limited,"React, Linux","Python, GCP","Cybersecurity, GCP",Data Science & AI,Mumbai,7.3,2 Months,B.Sc / M.Sc Data Science
Agni AI Networks,"JavaScript, Docker","C++, Pandas","Cybersecurity, PyTorch",Database Administration,Remote,6.8,6 Months,B.E. Cloud Computing
Agni Info Labs,"Kubernetes, JavaScript","Java, Node.js","Deep Learning, Docker",Cloud Computing,Remote,7.1,6 Months,B.Tech CS / IT
Agni Labs Solutions,"OpenCV, Pandas","Docker, Ethical Hacking","PyTorch, Digital Forensics",Software Engineering,Mumbai,6.9,3 Months,B.Tech Computer Science
Agni Services Technologies,"GCP, PyTorch","Kubernetes, Python","Incident Response, C++",Database Administration,Delhi,7.5,9 Months,B.E. Cloud Computing
Agni Soft Labs,"Librosa, Ethical Hacking","Kubernetes, Node.js","Docker, Ethical Hacking",Cloud Computing,Remote,7.7,2 Months,B.Tech CS / IT
Agni Solutions Group,"Mobile Forensics, JavaScript","Pandas, Linux","Data Analysis, Pandas",Cloud Computing,Chennai,6.7,9 Months,B.Tech CS / IT
AI Analytics,"TensorFlow, Mobile Forensics","Digital Forensics, JavaScript",Kubernetes,Cloud Computing,Singapore,8.9,3 Months,B.Tech CS / IT
AI App Analytics,"Machine Learning, AWS","Digital Forensics, Machine Learning","AWS, SQL",Database Administration,Indore,6.3,12 Months,B.E. Cloud Computing
AI Consulting,"React, Mobile Forensics","SQL, Cybersecurity","AWS, GCP",DevOps,Pune,6.4,12 Months,Mechanical Engineering
AI Corp,"AWS, Network Security","Incident Response, Bash","DevOps, Python",Software Engineering,Seattle,7.9,2 Months,B.Tech Computer Science
AI Data,"DevOps, AWS","Node.js, Network Security","GCP, Java",Software Engineering,Noida,7,9 Months,B.Tech Computer Science
AI Dynamics,"Java, Node.js","Network Security, AWS","NoSQL, Java",Web Development,Pune,8.2,2 Months,B.Tech Computer Science
AI Hub Ventures,"Digital Forensics, Pandas","SQL, Cybersecurity","NoSQL, Data Analysis",Database Administration,Hyderabad,6.6,12 Months,B.Tech CS / IT
AI Inc,"PowerBI, Computer Vision","PyTorch, Azure","Node.js, Data Analysis",Software Engineering,Pune,7.1,9 Months,B.E. Information Technology
AI Info Technologies,"Scikit-learn, Bash","Docker, Bash","Deep Learning, NoSQL",DevOps,Remote,7.3,2 Months,Mechanical Engineering
AI Labs,"TensorFlow, Cybersecurity","Incident Response, Digital Forensics",GCP,Software Engineering,Remote,9.2,12 Months,BCA / MCA
AI Labs Group,"Librosa, NLP","Pandas, Computer Vision","PowerBI, TensorFlow",Cybersecurity & Forensics,Delhi,9.4,6 Months,BCA / MCA
AI Networks,"Deep Learning, OpenCV","Incident Response, JavaScript","Node.js, React",Cloud Computing,Gurgaon,6.4,9 Months,B.E. Cloud Computing
AI Software,"Python, Deep Learning","Computer Vision, JavaScript","NLP, SQL",Cybersecurity & Forensics,Kolkata,7.2,4 Months,B.Sc Information Security
AI Solutions,"Docker, Computer Vision","Python, Machine Learning","GCP, JavaScript",DevOps,Seattle,8.7,6 Months,B.Tech CS / IT
AI Works Limited,"Machine Learning, Python","Librosa, NoSQL","Azure, Computer Vision",Mobile App Development,Ahmedabad,7,6 Months,B.Tech Computer Science
